year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch
1738,0,0,0,40,0,0,0,0,0
1739,,,,,0,,,0,0
1740,,,,,0,,,0,0
1741,,,,,0,,,0,0
1742,,,,,0,,,0,0
1743,,,,,0,,,0,0
1744,0,0,0,50,0,0,0,0,0
1745,,,,,0,,,0,0
1746,,,,,0,,,0,0
1747,,,,,0,,,0,0
1748,,,,,0,,,0,0
1749,,,,,0,,,0,0
1750,,,,,0,,,0,0
1751,,,,,0,,,0,0
1752,0,0,0,55,0,0,0,0,0
1753,0,0,0,55,0,0,0,0,0
1754,,,,,0,,,0,0
1755,,,,,0,,,0,0
1756,,,,,0,,,0,0
1757,,,,,0,,,0,0
1758,,,,,0,,,0,0
1759,,,,,0,,,0,0
1760,0,0,0,65,0,0,0,0,0
1761,,,,,0,,,0,0
1762,0,0,0,65,0,0,0,0,0
1763,,,,,0,,,0,0
1764,,,,,0,,,0,0
1765,,,,,0,,,0,0
1766,0,0,0,83,0,0,0,0,0
1767,,,,,0,,,0,0
1768,,,,,0,,,0,0
1769,0,0,0,83,0,0,0,0,0
1770,,,,,0,,,0,0
1771,,,,,0,,,0,0
1772,0,.07,0,191,0,1.2833333,0,1.2833333,1.2833333
1773,0,.07,0,366,0,1.2833333,0,1.2833333,1.2833333
1774,0,0,0,290,0,0,0,0,0
1775,0,0,0,80,0,0,0,0,0
1776,.25,0,0,215,11,0,0,0,11
1777,.25,0,0,175,11,0,0,0,11
1778,,,,,0,,,0,0
1779,,,,,0,,,0,0
1780,,,,,0,,,0,0
1781,0,.239,0,253,0,4.3816667,0,4.3816667,4.3816667
1782,0,.239,0,253,0,4.3816667,0,4.3816667,4.3816667
1783,0,.3,0,266,0,5.5,0,5.5,5.5
1784,.300000011920929,.4,0,786.5,13.200001,7.3333335,0,7.3333335,20.533335
1785,0,.505,0,1080,0,9.2583332,0,9.2583332,9.2583332
1786,0,.625,0,940,0,11.458333,0,11.458333,11.458333
1787,0,0,0,400,0,0,0,0,0
1788,0,.825,0,837,0,15.125,0,15.125,15.125
1789,.1009999997913837,3.178833333333333,10,1972,4.4439998,58.27861,22,58.27861,62.72261
1790,0,2.388833333333333,10,1710,0,43.795277,22,43.795277,43.795277
