year,real_gdp,real_gdp_per_capita,resident_population,johnston_williamson_estimates,berry,industrial_production_davies
1790,4571,1163,3929,1158,93,4
1791,4734,1169,4048,1146,92,4
1792,4975,1192,4172,1184,96,5
1793,5281,1228,4299,1200,97,5
1794,5591,1262,4429,1226,99,6
1795,5895,1292,4563,1300,105,7
1796,6035,1284,4701,1357,109,7
1797,6016,1242,4844,1288,104,6
1798,6066,1216,4990,1297,105,6
1799,6323,1230,5141,1360,110,7
1800,6671,1259,5297,1357,110,7
1801,7003,1282,5461,1500,122,8
1802,7341,1303,5632,1341,110,8
1803,7442,1281,5809,1379,114,8
1804,7666,1280,5991,1405,118,8
1805,8080,1307,6180,1469,125,9
1806,8489,1331,6379,1397,121,9
1807,8855,1344,6588,1424,123,10
1808,8492,1249,6797,1301,115,8
1809,9189,1311,7009,1407,126,9
1810,9735,1348,7224,1426,129,10
1811,10225,1375,7436,1399,127,11
1812,10338,1351,7651,1320,121,11
1813,10746,1366,7867,1411,129,12
1814,11251,1392,8085,1472,135,13
1815,11518,1386,8308,1468,135,14
1816,11359,1330,8540,1475,136,13
1817,11684,1329,8790,1490,138,13
1818,12071,1333,9057,1579,146,14
1819,12416,1330,9335,1500,141,14
1820,12720,1322,9618,1466,137,15
1821,13295,1343,9899,1445,136,16
1822,14063,1380,10189,1590,150,17
1823,14317,1365,10488,1506,143,17
1824,15129,1402,10795,1482,143,19
1825,15927,1433,11115,1637,160,20
1826,16522,1443,11449,1537,151,21
1827,17099,1449,11797,1560,154,21
1828,17615,1449,12158,1587,158,21
1829,17547,1401,12525,1589,161,20
1830,19387,1503,12901,1574,160,24
1831,21172,1595,13277,1597,163,28
1832,22612,1653,13676,1653,167,32
1833,24098,1711,14086,1725,176,35
1834,23623,1629,14504,1793,167,34
1835,25229,1691,14917,1716,182,38
1836,26329,1716,15340,1662,194,40
1837,26236,1662,15790,1754,185,40
1838,26726,1647,16224,1720,185,41
1839,28768,1727,16656,1825,201,46
1840,28113,1642,17120,1764,183,44
1841,28314,1608,17612,1772,200,46
1842,28893,1594,18124,1710,192,48
1843,30189,1619,18641,1668,193,53
1844,32705,1707,19157,1864,201,59
1845,34172,1734,19708,1882,209,65
1846,35435,1744,20313,1866,207,76
1847,37562,1790,20987,1982,230,87
1848,39849,1836,21706,1921,205,95
1849,40191,1789,22464,1861,214,98
1850,41781,1796,23261,1930,224,102
1851,45045,1869,24095,2009,224,107
1852,49099,1964,24999,2164,217,126
1853,54360,2098,25911,2107,222,145
1854,56499,2104,26856,2156,223,151
1855,57065,2058,27727,2272,227,151
1856,59859,2101,28497,2242,222,160
1857,60211,2055,29298,2202,242,158
1858,62087,2065,30068,2301,215,149
1859,65276,2121,30780,2320,247,171
1860,68594,2177,31513,2342,229,174
1861,68671,2132,32215,2257,226,174
1862,72308,2199,32889,2226,226,187
1863,78660,2341,33607,2190,227,211
1864,83109,2418,34376,2606,276,229
1865,80667,2293,35182,2336,253,218
1866,82026,2275,36052,2319,255,223
1867,86869,2350,36970,2286,257,242
1868,90212,2381,37885,2323,264,255
1869,94998,2444,38870,2372,276,275
1870,94758,2375,39905,2486,270,282
1871,94450,2303,41010,2512,270,297
1872,113082,2688,42066,2544,296,322
