voyageID,masterID,agentID,vesselID,matchID,agent,rev,tonnage,masterExp,matchExp,voyageLength,yearOut,yearIn,voyageRank,voyageName,port,ground,dayout,dayin,bone,sperm,oil,crewlistlink,fate,rig,builtDate,rig_Bark,rig_Brig,rig_DSchr,rig_Gall,rig_GSchr,rig_Gyawl,rig_Sbark,rig_SBgtn,rig_SBktn,rig_Scow,rig_Schr,rig_Sloop,rig_SSchr,rig_Ship,rig_Snow,rig_Str,rig_others,steamer,nmaster,nagent,nvoyage,pop_baleen,pop_sperm,lntonnage,lnmasterExp,lnmatchExp,lnvoyageLength,lnnmaster,lnnagent,lnnvoyage,lnpop_baleen,lnpop_sperm,lnrev,temp,agentExp,lnagentExp,ncrew_diff,lnncrew,ncrew_orig,ncrew_pred,ncrew,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,lnwhale_catch,pop_whale,lnpop_whale
AV07416,515,1,1607,4,"Adams, Atkins",0,360,9,1,1,1830,1830,1,Jasper : 1830,"Marblehead, MA  ",,1830,1830,0,0,0,1,,Ship,1818,0,,,,,,,,,,,,,1,,,0,0,370,97,370,949.15253,2827.644,5.8861041,2.1972246,0,0,5.9135032,4.5747108,5.9135032,6.8555694,7.9471993,0,1830,1,0,4.4628143,3.2958369,27,23.223484,27.000002,0,0,0,0,0,,1397414.8,14.150134
AV02143,4778,1,972,24,"Adams, Atkins",1.6210276,320,1,1,4,1831,1834,1,Cadmus : 1831-1834,"Fairhaven, MA  ",Pacific,1831,1834,0,2.313,0,1,,Ship,1816,0,,,,,,,,,,,,,1,,,0,0,589,180,594,586.85669,1750.0878,5.768321,0,0,1.3862944,6.3784261,5.1929569,6.3868794,6.3747807,7.4674211,.96356642,1830,2,.69314718,4.007946,3.0910425,22,25.166073,22.000002,101.772,0,0,0,101.772,4.622735,1388145,14.143479
AV07453,3974,1,338,20,"Adams, Atkins",.70050001,291,1,1,2,1832,1833,1,Java II : 1832-1833,"Fairhaven, MA  ",,1832,1833,0,.34999999,1.55,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,568,160,593,582.27032,1741.3876,5.6733232,0,0,.69314718,6.3421216,5.0751739,6.3851943,6.3669348,7.4624376,.53092235,1830,3,1.0986123,.09380722,3.1354942,23,23.509171,23,15.4,28.416666,0,28.416666,43.816666,3.7800143,1377929.1,14.136092
AV07454,3974,1,338,20,"Adams, Atkins",.5764451,291,3,3,3,1833,1835,1,Java II : 1833-1835,"Fairhaven, MA  ",S Atlantic,1833 Jun 11,1835,0,.13,1.3,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,644,202,647,527.64099,1584.3154,5.6733232,1.0986123,1.0986123,1.0986123,6.4676986,5.3082676,6.4723463,6.2684159,7.3679075,.45517239,1830,4,1.3862944,2.4699974,3.0910425,22,24.304394,22.000002,5.7199998,23.833334,0,23.833334,29.553333,3.3861966,1366435.8,14.127716
AV02144,1387,1,972,5,"Adams, Atkins",1.4516846,320,1,1,4,1834,1837,1,Cadmus : 1834-1837,"Fairhaven, MA  ",Pacific,1834,1837,0,2.063,0,1,,Ship,1816,0,,,,,,,,,,,,,1,,,0,0,758,266,762,443.45773,1333.6504,5.768321,0,0,1.3862944,6.6306834,5.5834961,6.6359468,6.0946026,7.1956749,.89677536,1830,5,1.6094379,3.5087509,3.1354942,23,25.660789,23,90.771996,0,0,0,90.771996,4.5083508,1354156.4,14.11869
AV09155,2861,1,1766,12,"Adams, Atkins",1.0986167,301,5,5,3,1838,1840,1,Martha II : 1838-1840,"Fairhaven, MA  ",Indian,1838 Jul 18,1840,0,.67000002,1.555,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,831,303,773,418.70718,1270.1279,5.7071104,1.6094379,1.6094379,1.0986123,6.72263,5.7137327,6.650279,6.0371718,7.146873,.74127841,1830,9,2.1972246,.97786522,3.2188759,25,25.623827,25.000002,29.480001,28.508333,0,28.508333,57.988335,4.0602417,1305469.5,14.082073
AV07415,2966,1,1607,14,"Adams, Atkins",0,360,1,1,3,1839,1841,1,Jasper : 1839-1841,"Fairhaven, MA  ",,1839,1841,0,0,0,1,,Ship,1818,0,,,,,,,,,,,,,1,,,0,0,899,332,836,381.77762,1165.3848,5.8861041,0,0,1.0986123,6.8012829,5.8051348,6.7286286,5.9448385,7.0608068,0,1830,10,2.3025851,22.042833,3.3337331,28.042833,27.621145,28.042833,0,0,0,0,0,,1293427.8,14.072806
AV09156,2310,1,1766,8,"Adams, Atkins",6.4306102,301,12,1,5,1840,1844,1,Martha II : 1840-1844,"Fairhaven, MA  ",Pacific,1840 Aug 16,1844,12,1.05,1.25,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,981,315,906,347.42725,1066.1099,5.7071104,2.4849067,0,1.6094379,6.8885727,5.7525725,6.8090391,5.8505554,6.9717717,2.0056081,1830,11,2.3978953,1.7509079,3.2188759,25,25.671284,25.000002,46.199997,22.916666,26.4,26.4,72.599998,4.284965,1280664.6,14.06289
AV02146,3251,1,972,16,"Adams, Atkins",.029200001,320,5,5,2,1841,1842,1,Cadmus : 1841-1842,"Fairhaven, MA  ",Pacific,1841 Nov 11,1842,0,.039999999,0,1,,Ship,1816,0,,,,,,,,,,,,,1,,,0,0,921,312,847,366.88843,1129.5442,5.768321,1.6094379,1.6094379,.69314718,6.82546,5.7430034,6.7417006,5.9050579,7.0295696,.028781801,1830,12,2.4849067,3.3440418,3.1354942,23,26.327723,23,1.76,0,0,0,1.76,.56531382,1267478.5,14.05254
AV08175,4557,1,380,21,"Adams, Atkins",2.0071626,279.5,4,1,5,1841,1845,1,LaGrange : 1841-1845,"Fairhaven, MA  ",,1841 May 29,1845,3,.92799997,.307,1,L,Bark,1824,1,,,,,,,,,,,,,0,,,0,0,1037,327,974,319.0498,982.26276,5.6330023,1.3862944,0,1.6094379,6.944087,5.7899604,6.8814111,5.765347,6.8898587,1.100997,1830,12,2.4849067,4.8908539,3.0445225,21,24.872637,21.000002,40.832001,5.6283336,6.5999999,6.5999999,47.431999,3.859297,1267478.5,14.05254
AV07458,2923,1,338,13,"Adams, Atkins",1.914,291,1,1,5,1841,1845,1,Java II : 1841-1845,"Fairhaven, MA  ",Pacific,1841 Aug 13,1845,0,2.0999999,0,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,1037,327,974,319.0498,982.26276,5.6733232,0,0,1.6094379,6.944087,5.7899604,6.8814111,5.765347,6.8898587,1.0695267,1830,12,2.4849067,17.589573,3.2737589,26.410427,25.379513,26.410427,92.399994,0,0,0,92.399994,4.5261269,1267478.5,14.05254
AV04168,2538,1,195,11,"Adams, Atkins",1.9823571,405.5,10,10,4,1842,1845,1,Eliza Adams : 1842-1845,"Fairhaven, MA  ",Pacific,1842 Jul 12,1845 Dec 23,0,2.0999999,.2,1,,Ship,1835,0,,,,,,,,,,,,,1,,,0,0,1037,327,974,314.63681,972.51898,6.0051208,2.3025851,2.3025851,1.3862944,6.944087,5.7899604,6.8814111,5.7514191,6.8798895,1.092714,1830,13,2.5649493,22.842279,3.406441,30.157721,29.434103,30.157721,92.399994,3.6666667,0,3.6666667,96.066658,4.5650425,1253689.8,14.041601
AV09157,4566,1,1766,22,"Adams, Atkins",3.6936162,301,16,1,4,1844,1847,1,Martha II : 1844-1847,"Fairhaven, MA  ",,1844 Aug 3,1847,7,1.1,.8,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,990,290,876,338.19547,1063.9073,5.7071104,2.7725887,0,1.3862944,6.8977051,5.6698809,6.7753663,5.8236241,6.9697037,1.5462034,1830,15,2.7080503,.84987068,3.3322046,28,26.43129,28.000002,48.400002,14.666667,15.4,15.4,63.800003,4.1557531,1228242.1,14.021094
AV07459,3052,1,338,15,"Adams, Atkins",1.9066224,291,15,1,5,1845,1849,1,Java II : 1845-1849,"Fairhaven, MA  ",,1845,1849,2,1,.3,1,L,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,904,254,729,397.42322,1269.8318,5.6733232,2.7080503,0,1.6094379,6.8068295,5.5373344,6.5916739,5.9850016,7.1466398,1.0669917,1830,16,2.7725887,9.2345085,3.583519,36,25.883781,36,44,5.5,4.4000001,5.5,49.5,3.9019728,1215428.9,14.010608
