fid,fname,tid,q,Lq,l,Ll,k,Lk,a,La,ktotal,Lktotal,w,Lw,t,Lt,lnvoyage_oper,lnF1tonnage,soil,woil,bone,L,voyage_oper,Ktotal,Q,A,W,rev,K,Kprime,exit,bk,bK,bW,bt,cons,omega
1,"Adams, Atkins",1831,3.2364407,,3.8544464,3.2958369,6.5220928,5.8861041,.69314718,0,11.709011,11.544448,14.143479,14.150134,31,30,.69314718,6.8783264,.578249990940094,0,0,47.20247840881348,2,121663.0833358765,25.4429988861084,2,1388145,.37206772,680,971,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.38776571
1,"Adams, Atkins",1832,3.857595,3.2364407,4.2513838,3.8544464,6.8783264,6.5220928,1.0986123,.69314718,11.88026,11.709011,14.136092,14.143479,32,31,1.0986123,6.4150968,.7532499879598618,.775,0,70.20247840881348,3,144387.9999923706,47.3513298034668,3,1377929.1,.79497463,971,611,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.11250064
1,"Adams, Atkins",1833,3.7214127,3.857595,3.7954893,4.2513838,6.4150968,6.8783264,1.3862944,1.0986123,12.016452,11.88026,14.127716,14.136092,33,32,.69314718,6.4150968,.6874166578054428,.6041666666666667,0,44.50000190734863,2,165454.4999237061,41.32272338867188,4,1366435.8,.74138749,611,611,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.25536647
1,"Adams, Atkins",1834,3.5239787,3.7214127,3.7954893,3.7954893,6.4150968,6.4150968,1.6094379,1.3862944,12.010337,12.016452,14.11869,14.127716,34,33,.69314718,7.2272992,.5903333239257336,.4333333333333333,0,44.50000190734863,2,164445.9166183472,33.91911315917969,5,1354156.4,.52891976,611,1376.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.078699455
1,"Adams, Atkins",1835,4.5528889,3.5239787,4.6226435,3.7954893,7.2272992,6.4150968,1.7917595,1.6094379,12.04953,12.010337,14.110006,14.11869,35,34,1.3862944,7.4250598,1.958624973893166,.476,0,101.7626609802246,4,171019.0832748413,94.90616607666016,6,1342449.9,1.7127633,1376.5,1677.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.28877792
1,"Adams, Atkins",1836,4.7282686,4.5528889,4.8551426,4.6226435,7.4250598,7.2272992,1.9459101,1.7917595,12.110042,12.04953,14.100958,14.110006,36,35,1.6094379,7.4250598,2.380999982357025,.4546666666666667,0,128.3989887237549,5,181687.2499313354,113.0995559692383,7,1330357.3,2.0380349,1677.5,1677.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.28337067
1,"Adams, Atkins",1837,4.730751,4.7282686,4.8565292,4.8551426,7.4250598,7.4250598,2.0794415,1.9459101,12.111172,12.110042,14.091479,14.100958,37,36,1.6094379,7.4250598,2.310166656970978,.64,0,128.5771884918213,5,181892.5832901001,113.3806610107422,8,1317806.1,1.8166687,1677.5,1677.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.30860263
1,"Adams, Atkins",1838,4.6600704,4.730751,4.8861384,4.8565292,7.4250598,7.4250598,2.1972246,2.0794415,12.081944,12.111172,14.082073,14.091479,38,37,1.6094379,7.5791678,1.948141723871231,1.086833333333333,0,132.4411754608154,5,176653.2499465942,105.6435165405273,9,1305469.5,1.7805495,1677.5,1957,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.25904593
1,"Adams, Atkins",1839,4.6310611,4.6600704,5.0638347,4.8861384,7.5791678,7.4250598,2.3025851,2.1972246,12.124185,12.081944,14.072806,14.082073,39,38,1.7917595,7.5791678,1.645533353090286,1.648333333333333,0,158.1959590911865,6,184274.9999389648,102.6229095458984,10,1293427.8,2.0513642,1957,1957,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.094398603
1,"Adams, Atkins",1840,4.484901,4.6310611,5.0662069,5.0638347,7.5791678,7.5791678,2.3978953,2.3025851,12.138627,12.124185,14.06289,14.072806,40,39,1.7917595,7.5791678,1.515533342957497,1.199166666666667,1.2,158.5717430114746,6,186955.6666030884,88.66818237304688,11,1280664.6,2.0331738,1957,1957,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.026810091
