year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,index,gdp,sperm_oil_price,whale_oil_price,pred_bone_price,cpi,soil_real_price,woil_real_price,bone_real_price,soil_catchval,woil_catchval,bone_catchval,soil_cpi,woil_cpi,bone_cpi,soil_gpi,woil_gpi,bone_gpi,soil_catchval_cpi,woil_catchval_cpi,bone_catchval_cpi,soil_catchval_gpi,woil_catchval_gpi,bone_catchval_gpi,event,event_ton,event_cap,pop,real_gdp,real_gdp_per_capita,resident_population,johnston_williamson_estimates,berry,industrial_production_davies,pop_baleen,pop_sperm,whale_pop,whale_ratio,oil_cpi,whale_cpi,nmaster,nagent,nvoyage,petroleum_price,petroleum_price_ma,org_petroleum_price,ln_petroleum_price_ma,ln_petroleum_price,petroleum_quantity,wages_unskilled_labor,sperm_ratio,baleen_ratio,q_demanded,q_demanded_pre,q_demanded_post,soil_from_whale,ln_sperm,ln_oil,ln_bone,ln_soil_from_whale,ln_whale_catch,ln_tonnage,ln_soil_cpi,ln_woil_cpi,ln_oil_cpi,ln_bone_cpi,ln_whale_cpi,ln_event,ln_event_ton,ln_event_cap,ln_pop,ln_resident_population,ln_pop_baleen,ln_pop_sperm,ln_whale_pop,ln_petroleum_quantity,ln_sperm_caught,ln_baleen_caught,ln_index,ln_gdp,ln_real_gdp,ln_real_gdp_per_capita,ln_johnston_williamson_estimates,ln_berry,ln_industrial_production_davies,ln_wages_unskilled_labor,post_1829,post_1839,post_1849,post_1859,post_1869,post_1879,post_1889,post_1899,t,t2,t3,rev_cpi,rev_catchval_cpi,rev_catchval,rev_gpi,rev_catchval_gpi,rev_real,rev,price_whale_cpi,price_whale_catchval_cpi,price_whale_catchval,price_whale_gpi,price_whale_catchval_gpi,price_whale_real,price_whale,ln_price_whale,ln_price_whale_cpi,ln_price_whale_catchval_cpi,ln_price_whale_catchval,ln_price_whale_gpi,ln_price_whale_catchval_gpi,ln_price_whale_real,r_us,high_grade,r_new_england,r_railroad,highgrade,mediumgrade,new_england_hat,ln_r_us,ln_r_new_england,ln_r_railroad,money_market_rates,ln_money_market_rates,ln_wages,northeast,south,plains,west,wages,shipbuilding_capital_costs,wp_wholesale_prices,input_prices,freight_rates,tfp,freight_rate,seamen_wage,schwert,boston_banks,boston_industrials
1667,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,1,1,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-133,17689,-2352637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-132,17424,-2299968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-131,17161,-2248091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-130,16900,-2197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-129,16641,-2146689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-128,16384,-2097152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-127,16129,-2048383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-126,15876,-2000376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-125,15625,-1953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,100,,,,,.1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,-2.3025851,,,,,,,,,,,0,0,0,0,0,0,0,0,-124,15376,-1906624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
