year,petroleum_price,petroleum_price_ma,org_petroleum_price,ln_petroleum_price_ma,ln_petroleum_price
1859,17.185184,13.742777,17.185184,2.6205134,2.6205134
1860,10.30037,9.3372841,10.30037,2.2340155,2.2340155
1861,.52629632,3.9472222,.52629632,1.3730121,1.3730121
1862,1.015,1.3367385,1.015,.29023266,.29023266
1863,2.468919,2.819037,2.468919,1.0363953,1.0363953
1864,4.9731917,3.8655586,4.9731917,1.3521062,1.3521062
1865,4.1545653,3.8642523,4.1545653,1.3517683,1.3517683
1866,2.4649999,2.7612042,2.4649999,1.015667,1.015667
1867,1.6640477,2.2511826,1.6640477,.81145567,.81145567
1868,2.6244998,2.7925158,2.6244998,1.0269428,1.0269428
1869,4.0889997,3.219763,4.0889997,1.1693077,1.1693077
1870,2.9457893,3.5103002,2.9457893,1.2557015,1.2557015
1871,3.4961112,3.1247077,3.4961112,1.1393408,1.1393408
1872,2.9322224,2.6341667,2.9322224,.96856689,.96856689
1873,1.4741668,1.8014435,1.4741668,.58858824,.58858824
1874,.99794114,1.2194905,.99794114,.19843318,.19843318
1875,1.1863637,1.4893516,1.1863637,.39834088,.39834088
1876,2.2837501,1.8756629,2.2837501,.62896216,.62896216
1877,2.1568751,1.8702084,2.1568751,.62604988,.62604988
1878,1.17,1.4058632,1.17,.34065145,.34065145
1879,.89071429,1.0002381,.89071429,.00023803262,.00023803262
1880,.94,.91690475,.94,-.086751685,-.086751685
1881,.92000002,.88,.92000002,-.12783338,-.12783338
1882,.77999997,.94642854,.77999997,-.055059813,-.055059813
1883,1.1392857,.94408286,1.1392857,-.057541344,-.057541344
1884,.91296297,.99914461,.91296297,-.00085575233,-.00085575233
1885,.94518518,.87358022,.94518518,-.13515532,-.13515532
1886,.76259255,.80913579,.76259255,-.21178852,-.21178852
1887,.71962965,.72679013,.71962965,-.31911752,-.31911752
1888,.69814813,.74827158,.69814813,-.28998929,-.28998929
1889,.82703704,.78407407,.82703704,-.24325179,-.24325179
1890,.82703704,.75185186,.82703704,-.28521597,-.28521597
1891,.6014815,.65876544,.6014815,-.41738775,-.41738775
1892,.54777777,.59790123,.54777777,-.51432973,-.51432973
1893,.64444447,.66509974,.64444447,-.40781826,-.40781826
1894,.80307698,.90397382,.80307698,-.10095488,-.10095488
1895,1.2644,1.060359,1.2644,.05860753,.05860753
1896,1.1136,1.0556,1.1136,.054109368,.054109368
1897,.7888,.94346666,.7888,-.058194246,-.058194246
1898,.92800003,1.0092,.92800003,.0091579147,.0091579147
1899,1.3108,1.2064,1.3108,.18764074,.18764074
1900,1.3804001,1.2682667,1.3804001,.23765115,.23765115
1901,1.1136,1.1287693,1.1136,.1211279,.1211279
