year,soil_cpi,woil_cpi,bone_cpi
1804,.90222222,.32222223,.051555555
1805,.61866665,.32222223,.064444445
1806,.49361703,.30851063,.043191489
1807,.65909094,.32954547,.046136364
1808,.48333335,.26583332,.042291667
1809,.37021279,.27148935,.049361702
1810,.46276596,.24680851,.049361702
1811,.72500002,.23200001,.052200001
1812,.56862748,.28431374,.056862745
1813,.625,.25,.050000001
1814,.57539684,.64444441,.043701418
1815,.5272727,.43763635,.047577303
1816,.6397059,.36960784,.068235293
1817,.435,.36250001,.072499998
1818,.56739128,.31521741,.063043483
1819,.52326083,.22065216,.063043483
1820,.64559525,.24166666,.069047622
1821,.489375,.23925,.086999997
1822,.47125,.23199999,.086999997
1823,.34638891,.25777778,.10472222
1824,.39984849,.26363638,.11424242
1825,.60132349,.27294117,.12794118
1826,.6397059,.25588235,.13647059
1827,.61838239,.25588235,.15352942
1828,.54924244,.22848484,.21969697
1829,.55734378,.235625,.2265625
1830,.59359372,.35343748,.18125001
1831,.6434375,.27187502,.15406249
1832,.82166672,.22716667,.12566666
1833,.85000002,.25999999,.13
1834,.70083338,.26583335,.20299999
1835,.78580642,.36483869,.1964516
1836,.78212118,.38666666,.21969697
1837,.70367646,.29852942,.17058824
1838,.77937502,.28999999,.18125001
1839,.95156246,.32625002,.16312501
1840,.96666664,.29000002,.18366666
1841,.87935483,.29935482,.18709677
1842,.73000002,.34,.23
1843,.65249997,.35214287,.37285715
1844,.93866789,.37886429,.41428572
1845,.91142857,.34178573,.35214287
1846,.94389629,.36250001,.3651852
1847,1.0434822,.37285715,.32107145
1848,1.1153846,.36807695,.27884614
1849,1.263008,.45332801,.25380799
1850,1.40012,.56955999,.37584001
1851,1.477028,.52559602,.40020001
1852,1.4354999,.79170001,.58962798
1853,1.4470999,.67477202,.40020001
1854,1.5976851,.64047039,.42103702
1855,1.8352857,.7384643,.46866071
1856,1.74,.85388893,.62296295
1857,1.3291322,.75866073,1.0020535
1858,1.3496155,.60230774,1.0289423
1859,1.4634259,.52092594,.94518518
1860,1.5198147,.5316667,.8614074
1861,1.4124075,.47398889,.70888889
1862,1.3774999,.57352334,.79266667
1863,1.261892,.74655402,1.1991892
1864,1.0982978,.78978723,1.1106383
1865,1.4184783,.91413045,1.0780435
1866,1.6806818,.79750001,.90295458
1867,1.5432142,.50577384,.81130952
1868,1.392,.59450001,.74312496
1869,1.2904999,.73768753,.89899999
1870,1.034079,.51322371,.6486842
1871,1.0875,.48333335,.56388891
1872,1.1700695,.52763885,1.0351388
1873,1.1922222,.49944445,.87
1874,1.3561765,.51602942,.93823534
1875,1.4089606,.57340908,.9908334
1876,1.2732812,.55281252,1.939375
1877,1.0240625,.47125,2.265625
1878,.91500002,.44,2.46
1879,.87517858,.40392855,2.4235713
1880,.99000001,.50999999,2
1881,.88,.47999999,1.63
1882,1.0599999,.53500003,1.71
1883,1.0046428,.55928576,2.9724998
1884,.80555558,.6014815,3.812963
1885,.88074076,.48333332,2.8785186
1886,.8001852,.35444444,2.9322221
1887,.70888889,.34370369,3.3511109
1888,.66592592,.37592593,2.9859259
1889,.70459259,.40814814,3.7592592
1890,.69814813,.45111111,4.5325923
1891,.7411111,.5048148,5.7785187
1892,.72500002,.45648149,5.7462964
1893,.78944445,.45648149,3.3081481
1894,.62461537,.37365386,3.2903848
1895,.55680001,.32480001,3.2828
1896,.46400002,.40599999,4.5820003
1897,.53360003,.42919999,4.0599999
1898,.61479998,.3944,3.596
1899,.56840003,.40599999,3.132
1900,.60899997,.42919999,2.9000001
1901,.64960003,.44079998,3.0740001
1902,.7361539,.41269231,4.6846151
1903,.6014815,.40814814,5.6388888
1904,.55851847,.38666669,6.22963
1905,.49407408,.33296296,5.2629633
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,,,
1923,,,
1924,,,
1925,,,
1926,,,
1927,,,
1928,,,
1929,,,
1930,,,
1931,,,
1932,,,
1933,,,
1934,,,
1935,,,
1936,,,
1937,,,
1938,,,
1939,,,
1940,,,
1941,,,
1942,,,
1943,,,
1944,,,
1945,,,
1946,,,
1947,,,
1948,,,
1949,,,
1950,,,
1951,,,
1952,,,
1953,,,
1954,,,
1955,,,
1956,,,
1957,,,
1958,,,
1959,,,
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,
1971,,,
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
