year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1738,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1739,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1740,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1741,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1742,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1743,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1744,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1745,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1746,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1747,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1748,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1749,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1750,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1751,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1752,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1753,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1754,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1755,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1756,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1757,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1758,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1759,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1760,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1761,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1762,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1763,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1764,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1765,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1766,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1767,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1768,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1769,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1770,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,367000.0,1.11e6
1771,,,,,0.0,,,0.0,0.0,367000.0,1.11e6
1772,0.0,0.07,0.0,191.0,0.0,1.2833333,0.0,1.2833333,1.2833333,367000.0,1.11e6
1773,0.0,0.07,0.0,366.0,0.0,1.2833333,0.0,1.2833333,1.2833333,366997.805500057,1.11e6
1774,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,366995.6724456715,1.11e6
1775,0.0,0.0,0.0,948.5,0.0,0.0,0.0,0.0,0.0,366995.79361547815,1.11e6
1776,0.25,0.0,0.0,350.0,11.0,0.0,0.0,0.0,11.0,366995.91139262484,1.11e6
1777,0.25,0.0,0.0,175.0,11.0,0.0,0.0,0.0,11.0,366996.0258721009,1.10998119e6
1778,,,,,0.0,,,0.0,0.0,366996.13714623614,1.1099626696681094e6
1779,,,,,0.0,,,0.0,0.0,366996.2453047754,1.1099632445320198e6
1780,,,,,0.0,,,0.0,0.0,366996.350434951,1.109963810543735e6
1781,0.0,0.239,0.0,253.0,0.0,4.3816667,0.0,4.3816667,4.3816667,366996.452621553,1.1099643678395574e6
1782,0.0,0.239,0.0,363.0,0.0,4.3816667,0.0,4.3816667,4.3816667,366989.0592969404,1.1099649165536903e6
1783,0.0,0.3,0.0,811.0,0.0,5.5,0.0,5.5,5.5,366981.87297561025,1.1099654568182717e6
1784,0.300000011920929,0.4,0.0,1448.5,13.200001,7.3333335,0.0,7.3333335,20.533335,366972.97550220997,1.1099659887634048e6
1785,0.0,0.505,0.0,2111.5,0.0,9.2583332,0.0,9.2583332,9.2583332,366961.1921210003,1.1099439405154798e6
1786,0.0,1.105,0.0,2046.5,0.0,20.258333,0.0,20.258333,20.258333,366946.44685395854,1.1099448037792207e6
1787,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,0.0,366913.304330054,1.1099456537502988e6
1788,0.0,0.825,0.0,1101.5,0.0,15.125,0.0,15.125,15.125,366915.73112070805,1.1099464906333725e6
1789,0.1009999997913837,3.178833333333333,10.0,2067.0,4.4439998,58.27861,22.0,58.27861,62.72261,366892.226249207,1.1099473146299496e6
1790,0.0,2.388833333333333,10.0,2708.0,0.0,43.795277,22.0,43.795277,43.795277,366795.5864277646,1.1099405266987782e6
1791,0.6666666753590107,1.29,5.0,2592.33332824707,29.333334,23.65,11.0,23.65,52.983334,366726.41625886207,1.1099414425287298e6
1792,0.9350000154227018,7.961666666666667,0.03,5894.5,41.139999,145.96388,0.066,145.96388,187.10388,366693.62825172034,1.10989218425556e6
1793,0.940000019967556,10.28166666666667,0.03,7979.5,41.360001,188.49722,0.066,188.49722,229.85722,366452.5998333177,1.109823495026209e6
1794,1.317333333194256,4.971666666666667,0.03,6240.0,57.962666,91.147224,0.066,91.147224,149.10989,366145.56936362525,1.1097554870824344e6
1795,1.162000006064773,4.543333333333334,0.0,6240.0,51.128002,83.294441,0.0,83.294441,134.42244,366013.5648506371,1.1096601354271686e6
1796,1.154666677117348,4.788333333333333,0.0,6692.0,50.805332,87.78611,0.0,87.78611,138.59145,365898.66248647805,1.1095779385351976e6
1797,5.058000057935715,4.780166666666666,0.0,7573.33332824707,222.552,87.636391,0.0,87.636391,310.18839,365779.27468435664,1.1094975581984643e6
1798,7.453333348035812,6.086833333333333,0.0,7903.33332824707,327.94666,111.59194,0.0,111.59194,439.5386,365663.46039536095,1.1091247276795474e6
1799,7.911666691303253,3.620166666666667,0.0,6823.33332824707,348.11334,66.36972,0.0,66.36972,414.48306,365509.8978214953,1.1085774053314666e6
